Comment,Designator,Footprint,LCSC,Quantity
ATmega328P-AU,U4,TQFP-32_7x7mm_P0.8mm,C14877,1
KF128-2.54-2P,"CurrentCoil1,Pilot1",TerminalBlock_KF128-2.54-2P,C474920,2
KF128-2.54-4P,"GFCI_CT1,Pilot2",TerminalBlock_KF128-2.54-4P,C474922,2
TC1044S,U2,SOIC-8_3.9x4.9mm_P1.27mm,,1
AP63205WU,U1,TSOT-23-6,,1
P6SMB16CA,TVS1,SMB,,1
4.7k,R41,R_0805_2012Metric,,1
4.7k,R40,R_0805_2012Metric,,1
180k,R39,R_1210_3225Metric,,1
180k,R38,R_1210_3225Metric,,1
180k,R37,R_1210_3225Metric,,1
180k,R36,R_1210_3225Metric,,1
180k,R35,R_1210_3225Metric,,1
180k,R34,R_1210_3225Metric,,1
180k,R33,R_1210_3225Metric,,1
180k,R32,R_1210_3225Metric,,1
10k,R31,R_0805_2012Metric,,1
2,R27,R_0805_2012Metric,,1
20R 1% 0.25W,R26,R_0805_2012Metric,,1
100k,R25,R_0805_2012Metric,,1
220,R24,R_0805_2012Metric,,1
330,R23,R_0805_2012Metric,,1
10k,R22,R_0805_2012Metric,,1
100k,R21,R_0805_2012Metric,,1
1k,R20,R_0805_2012Metric,,1
10k,R19,R_0805_2012Metric,,1
100,R18,R_0805_2012Metric,,1
422,R17,R_0805_2012Metric,,1
100k,R16,R_0805_2012Metric,,1
20k,R15,R_0805_2012Metric,,1
100k,R14,R_0805_2012Metric,,1
220,R11,R_0805_2012Metric,,1
10k,R10,R_0805_2012Metric,,1
100k,R9,R_0805_2012Metric,,1
100k,R8,R_0805_2012Metric,,1
200k,R7,R_0805_2012Metric,,1
100k,R6,R_0805_2012Metric,,1
56k,R5,R_0805_2012Metric,,1
1k,R3,R_0805_2012Metric,,1
10k,R2,R_0805_2012Metric,,1
620,R1,R_0805_2012Metric,,1
MMBT2222A,Q3,SOT-23,,1
MMBT2222A,Q2,SOT-23,,1
MOV,M3,MOV,,1
MOV,M2,MOV,,1
MOV,M1,MOV,,1
4.7uH,L2,NR5040,,1
HCPL-2731S,IC8,SIL8-2,,1
LM358,IC3,SOIC-8_3.9x4.9mm_P1.27mm,,1
LF353,IC1,SOIC-8_3.9x4.9mm_P1.27mm,,1
1N4004,D10,SMA_AC,,1
1N4004,D9,SMA_AC,,1
1N4004,D8,SMA_AC,,1
1N4004,D7,SMA_AC,,1
1N4148,D6,SOD-123_AC,,1
SS14,D5,D_SOD-123,,1
1N4148,D4,SOD-123_AC,,1
1N4148,D3,SOD-123_AC,,1
SS14,D2,D_SOD-123,,1
AZ23C5V6-7-F,D1,SOT-23,,1
0.1uF,C35,C_0402_1005Metric,,1
100nF,C34,C_0805_2012Metric,,1
0.1uF,C32,C_0805_2012Metric,,1
10uF,C26,C_0805_2012Metric,,1
10uF,C22,C_1206_3216Metric,,1
.1uf,C16,C_0805_2012Metric,,1
10uf,C14,C_1206_3216Metric_AC,,1
10uF,C13,C_0805_2012Metric,,1
0.1uF,C11,C_0805_2012Metric,,1
10uF,C10,C_0805_2012Metric,,1
.1uf,C7,C_0805_2012Metric,,1
10uF,C6,C_0805_2012Metric,,1
10uF,C5,C_0805_2012Metric,,1
22pF,C2,C_0805,,1
22pF,C1,C_0805,,1
FIDUCIAL1X2.5,FID4,FIDUCIAL-1X2.5,,1
,UNK_HOLE_1,dummyfp1,,1
M01PTH,G2,1X01,,1
T44009,J4,Terminal_T44009_M4,,1
1.6A 250VAC slow-blow,F1,BELFUSE1A,,1
T44009,J5,Terminal_T44009_M4,,1
MCP9808,U3,MSOP-8_3x3mm_P0.65mm,,1
ISP,J1,AVR_ISP_2x03_P2.54mm,,1
HF186F/12-HCTF,K2,Relay_Hongfa_HF186F_PushIn,,1
T44009,J7,Terminal_T44009_M4,,1
T44009,J6,Terminal_T44009_M4,,1
T44009,J8,Terminal_T44009_M4,,1
T44009,J9,Terminal_T44009_M4,,1
HF186F/12-HCTF,K1,Relay_Hongfa_HF186F_PushIn,,1
Conn_01x06_Pin,FTDI1,FTDI_JST_PH_1x06_P2.00mm,,1
IRM-10-12,PS1,Converter_ACDC_MeanWell_IRM-10-12_THT,,1
16MHz,Y1,Crystal_SMD_3.2x2.5mm,,1
BLM21PG331SN1D,L1,0805,,1
AZ23C2V7,D11,SOT23-3,,1
22uF,C33,C_0805_2012Metric,,1
22uF,C29,C_0805_2012Metric,,1
10uF,C28,C_0805_2012Metric,,1
0.1uF,C27,C_0805_2012Metric,,1
1.0uF,C24,C_0805_2012Metric,,1
1.0uF,C23,C_0805_2012Metric,,1
0.1uF,C21,C_0805_2012Metric,,1
1.0uF,C20,C_0805_2012Metric,,1
0.1uF,C19,C_0805_2012Metric,,1
1.0uF,C18,C_0201_0603Metric,,1
10uF,C17,C_0603_1608Metric_Polar,,1
1.0uF,C15,C_0805_2012Metric,,1
0.1uF,C12,C_0805_2012Metric,,1
1.0uF,C9,C_0805_2012Metric,,1
1.0uF,C4,C_0805_2012Metric,,1
1.0uF,C3,C_0805_2012Metric,,1
