Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22pF,C_0805,-38.9636,91.186,0.0,top
C10,10uF,C_0805_2012Metric,-136.111,97.5598,0.0,top
C11,0.1uF,C_0805_2012Metric,-136.111,94.5498,0.0,top
C12,0.1uF,C_0805_2012Metric,-154.1548,50.29,0.0,top
C13,10uF,C_0805_2012Metric,-136.111,91.5398,0.0,top
C14,10uf,C_1206_3216Metric_AC,-145.751,83.6498,0.0,top
C15,1.0uF,C_0805_2012Metric,-154.1548,47.28,0.0,top
C16,.1uf,C_0805_2012Metric,-131.661,100.5698,0.0,top
C17,10uF,C_0603_1608Metric_Polar,-149.7798,44.52,0.0,top
C18,1.0uF,C_0201_0603Metric,-146.5548,44.9,0.0,top
C19,0.1uF,C_0805_2012Metric,-149.7048,59.32,0.0,top
C2,22pF,C_0805,-38.9636,84.7852,0.0,top
C20,1.0uF,C_0805_2012Metric,-149.7048,56.31,0.0,top
C21,0.1uF,C_0805_2012Metric,-149.7048,53.3,0.0,top
C22,10uF,C_1206_3216Metric,-145.751,80.2998,0.0,top
C23,1.0uF,C_0805_2012Metric,-149.7048,50.29,0.0,top
C24,1.0uF,C_0805_2012Metric,-149.7048,47.28,0.0,top
C26,10uF,C_0805_2012Metric,-131.661,97.5598,0.0,top
C27,0.1uF,C_0805_2012Metric,-145.2548,59.32,0.0,top
C28,10uF,C_0805_2012Metric,-145.2548,56.31,0.0,top
C29,22uF,C_0805_2012Metric,-145.2548,53.3,0.0,top
C3,1.0uF,C_0805_2012Metric,-154.1548,59.32,0.0,top
C32,0.1uF,C_0805_2012Metric,-131.661,94.5498,0.0,top
C33,22uF,C_0805_2012Metric,-145.2548,50.29,0.0,top
C34,100nF,C_0805_2012Metric,-131.661,91.5398,0.0,top
C35,0.1uF,C_0402_1005Metric,-155.231,78.0498,0.0,top
C4,1.0uF,C_0805_2012Metric,-154.1548,56.31,0.0,top
C5,10uF,C_0805_2012Metric,-140.561,94.5498,0.0,top
C6,10uF,C_0805_2012Metric,-140.561,91.5398,0.0,top
C7,.1uf,C_0805_2012Metric,-136.111,100.5698,0.0,top
C9,1.0uF,C_0805_2012Metric,-154.1548,53.3,0.0,top
CurrentCoil1,KF128-2.54-2P,TerminalBlock_KF128-2.54-2P,-80.337,65.2136,90.0,bottom
D1,AZ23C5V6-7-F,SOT-23,-165.431,99.4498,270.0,top
D10,1N4004,SMA_AC,-152.596,86.1498,0.0,top
D11,AZ23C2V7,SOT23-3,-136.0048,47.15,0.0,top
D2,SS14,D_SOD-123,-145.656,100.3998,0.0,top
D3,1N4148,SOD-123_AC,-145.656,97.0498,0.0,top
D4,1N4148,SOD-123_AC,-145.656,93.6998,0.0,top
D5,SS14,D_SOD-123,-145.656,90.3498,0.0,top
D6,1N4148,SOD-123_AC,-145.656,86.9998,0.0,top
D7,1N4004,SMA_AC,-152.596,99.7998,0.0,top
D8,1N4004,SMA_AC,-152.596,95.2498,0.0,top
D9,1N4004,SMA_AC,-152.596,90.6998,0.0,top
F1,1.6A 250VAC slow-blow,BELFUSE1A,-42.35885,25.82345,90.0,bottom
FID4,FIDUCIAL1X2.5,FIDUCIAL-1X2.5,10.663,103.9436,0.0,top
FID4,FIDUCIAL1X2.5,FIDUCIAL-1X2.5,-78.337,103.9436,0.0,top
FTDI1,Conn_01x06_Pin,FTDI_JST_PH_1x06_P2.00mm,11.383,81.9436,270.0,bottom
G2,M01PTH,1X01,-81.337,106.9436,0.0,top
GFCI_CT1,KF128-2.54-4P,TerminalBlock_KF128-2.54-4P,-80.337,74.7536,90.0,bottom
IC1,LF353,SOIC-8_3.9x4.9mm_P1.27mm,-134.801,119.3648,270.0,top
IC3,LM358,SOIC-8_3.9x4.9mm_P1.27mm,-134.801,112.7798,270.0,top
IC8,HCPL-2731S,SIL8-2,-137.3198,83.5048,0.0,top
J1,ISP,AVR_ISP_2x03_P2.54mm,10.663,95.9436,0.0,bottom
J4,T44009,Terminal_T44009_M4,-16.337,19.9436,0.0,bottom
J5,T44009,Terminal_T44009_M4,-76.337,36.9436,0.0,bottom
J6,T44009,Terminal_T44009_M4,5.663,19.9436,0.0,bottom
J7,T44009,Terminal_T44009_M4,-76.337,53.9436,0.0,bottom
J8,T44009,Terminal_T44009_M4,-76.337,19.9436,0.0,bottom
J9,T44009,Terminal_T44009_M4,-54.337,19.9436,0.0,bottom
K1,HF186F/12-HCTF,Relay_Hongfa_HF186F_PushIn,-21.337,44.0436,90.0,bottom
K2,HF186F/12-HCTF,Relay_Hongfa_HF186F_PushIn,0.663,44.0436,90.0,bottom
L1,BLM21PG331SN1D,0805,-154.1048,44.5,0.0,top
L2,4.7uH,NR5040,-165.111,80.2232,0.0,top
M1,MOV,MOV,-67.337,45.6358,90.0,bottom
M2,MOV,MOV,-60.837,56.3886,90.0,bottom
M3,MOV,MOV,-63.337,33.9986,270.0,bottom
PS1,IRM-10-12,Converter_ACDC_MeanWell_IRM-10-12_THT,-49.712,52.1936,90.0,bottom
Pilot1,KF128-2.54-2P,TerminalBlock_KF128-2.54-2P,-80.337,96.2136,90.0,bottom
Pilot2,KF128-2.54-4P,TerminalBlock_KF128-2.54-4P,-80.337,86.7536,90.0,bottom
Q2,MMBT2222A,SOT-23,-165.431,94.9998,270.0,top
Q3,MMBT2222A,SOT-23,-165.431,90.5498,270.0,top
R1,620,R_0805_2012Metric,-154.461,121.2498,0.0,top
R10,10k,R_0805_2012Metric,-150.051,118.2998,0.0,top
R11,220,R_0805_2012Metric,-150.051,115.3498,0.0,top
R14,100k,R_0805_2012Metric,-150.051,112.3998,0.0,top
R15,20k,R_0805_2012Metric,-150.051,109.4498,0.0,top
R16,100k,R_0805_2012Metric,-150.051,106.4998,0.0,top
R17,422,R_0805_2012Metric,-150.051,103.5498,0.0,top
R18,100,R_0805_2012Metric,-145.641,121.2498,0.0,top
R19,10k,R_0805_2012Metric,-145.641,118.2998,0.0,top
R2,10k,R_0805_2012Metric,-154.461,118.2998,0.0,top
R20,1k,R_0805_2012Metric,-145.641,115.3498,0.0,top
R21,100k,R_0805_2012Metric,-145.641,112.3998,0.0,top
R22,10k,R_0805_2012Metric,-145.641,109.4498,0.0,top
R23,330,R_0805_2012Metric,-145.641,106.4998,0.0,top
R24,220,R_0805_2012Metric,-145.641,103.5498,0.0,top
R25,100k,R_0805_2012Metric,-141.231,121.2498,0.0,top
R26,20R 1% 0.25W,R_0805_2012Metric,-141.231,118.2998,0.0,top
R27,2,R_0805_2012Metric,-141.231,115.3498,0.0,top
R3,1k,R_0805_2012Metric,-154.461,115.3498,0.0,top
R31,10k,R_0805_2012Metric,-141.231,112.3998,0.0,top
R32,180k,R_1210_3225Metric,-165.081,120.6198,0.0,top
R33,180k,R_1210_3225Metric,-165.081,116.4098,0.0,top
R34,180k,R_1210_3225Metric,-165.081,112.1998,0.0,top
R35,180k,R_1210_3225Metric,-165.081,107.9898,0.0,top
R36,180k,R_1210_3225Metric,-165.081,103.7798,0.0,top
R37,180k,R_1210_3225Metric,-159.471,120.6198,0.0,top
R38,180k,R_1210_3225Metric,-159.471,116.4098,0.0,top
R39,180k,R_1210_3225Metric,-159.471,112.1998,0.0,top
R40,4.7k,R_0805_2012Metric,-141.231,109.4498,0.0,top
R41,4.7k,R_0805_2012Metric,-141.231,106.4998,0.0,top
R5,56k,R_0805_2012Metric,-154.461,112.3998,0.0,top
R6,100k,R_0805_2012Metric,-154.461,109.4498,0.0,top
R7,200k,R_0805_2012Metric,-154.461,106.4998,0.0,top
R8,100k,R_0805_2012Metric,-154.461,103.5498,0.0,top
R9,100k,R_0805_2012Metric,-150.051,121.2498,0.0,top
SH1,NetTie_2,SHORT_TOP-50,-47.879,98.7044,0.0,top
SH2,NetTie_2,SHORT_TOP-50,-42.037,88.0618,90.0,top
TVS1,P6SMB16CA,SMB,-163.661,85.5998,0.0,top
U1,AP63205WU,TSOT-23-6,-159.761,80.4748,180.0,top
U2,TC1044S,SOIC-8_3.9x4.9mm_P1.27mm,-134.801,106.1948,270.0,top
U3,MCP9808,MSOP-8_3x3mm_P0.65mm,4.1755,105.9686,0.0,bottom
U4,ATmega328P-AU,TQFP-32_7x7mm_P0.8mm,-31.6296,90.3396,270.0,top
UNK_HOLE_1,,dummyfp1,-25.337,13.9436,0.0,top
Y1,16MHz,Crystal_SMD_3.2x2.5mm,-38.8738,87.9524,90.0,top
